run_accession	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus
ERR9528674	0.0	19.0	1.0	1.0	0.0	31.0	5.0	158.0	0.0	169.0	174.0	1.0
ERR9528676	32.0	10.0	0.0	0.0	3.0	11.0	7.0	154.0	2.0	297.0	114.0	0.0
ERR9528679	0.0	0.0	13.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	451.0	0.0
ERR9528681	0.0	0.0	1.0	1.0	0.0	106.0	0.0	0.0	0.0	6.0	384.0	0.0
ERR9528686	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	718.0	0.0	0.0
ERR9528689	0.0	0.0	0.0	0.0	0.0	49.0	0.0	52.0	0.0	15.0	1316.0	0.0
ERR9528691	4.0	11.0	0.0	13.0	0.0	384.0	2.0	67.0	0.0	122.0	486.0	2.0
ERR9528694	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1044.0	0.0	0.0
ERR9528696	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	394.0	0.0	0.0
ERR9528699	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1106.0	0.0
ERR9528701	92.0	0.0	0.0	2.0	0.0	0.0	0.0	212.0	0.0	8.0	376.0	0.0
ERR9528704	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	448.0	0.0
ERR9528706	25.0	0.0	0.0	0.0	0.0	2.0	0.0	229.0	10.0	0.0	266.0	0.0
ERR9528709	0.0	3.0	2.0	0.0	0.0	1.0	2.0	0.0	4.0	0.0	1184.0	0.0
ERR9528711	0.0	0.0	0.0	4.0	0.0	38.0	0.0	42.0	0.0	0.0	819.0	1.0
ERR9528714	0.0	57.0	4.0	2.0	0.0	4.0	1.0	2.0	82.0	4.0	1359.0	1.0
ERR9528716	0.0	0.0	0.0	0.0	0.0	437.0	0.0	0.0	0.0	2.0	888.0	0.0
ERR9528719	84.0	0.0	1.0	37.0	134.0	0.0	0.0	659.0	219.0	5.0	0.0	13.0
ERR9528721	0.0	0.0	0.0	19.0	0.0	0.0	0.0	73.0	82.0	0.0	1893.0	0.0
ERR9528724	60.0	0.0	2.0	3.0	2.0	0.0	0.0	320.0	3.0	0.0	0.0	75.0
ERR9528726	3.0	0.0	2.0	13.0	6.0	0.0	0.0	27.0	3.0	140.0	302.0	0.0
ERR9528729	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	9.0	0.0	742.0	0.0
ERR9528731	0.0	0.0	0.0	0.0	2.0	0.0	2.0	70.0	110.0	0.0	1244.0	0.0
ERR9528734	0.0	0.0	530.0	1.0	1.0	3.0	0.0	0.0	0.0	7.0	2.0	1.0
ERR9528736	5.0	0.0	3.0	0.0	0.0	23.0	0.0	0.0	552.0	10.0	22.0	0.0
ERR9528739	1.0	544.0	0.0	0.0	1.0	54.0	45.0	0.0	0.0	3.0	16.0	0.0
ERR9528741	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0
ERR9528744	3.0	214.0	1.0	2.0	1.0	11.0	5.0	1.0	2.0	3.0	59.0	1.0
ERR9528746	0.0	6.0	2.0	1.0	6.0	225.0	3.0	0.0	2.0	0.0	370.0	0.0
ERR9528749	0.0	0.0	161.0	200.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	1033.0
ERR9528751	0.0	0.0	3.0	5.0	13.0	509.0	0.0	283.0	0.0	376.0	13.0	3.0
ERR9528754	0.0	1.0	98.0	0.0	32.0	2437.0	4.0	0.0	0.0	0.0	0.0	0.0
ERR9528759	0.0	302.0	0.0	0.0	1.0	0.0	0.0	3.0	244.0	0.0	0.0	0.0
ERR9528761	90.0	457.0	0.0	2.0	1.0	28.0	0.0	78.0	0.0	0.0	2.0	0.0
