Feature ID	Taxon
ext_mOTU_v31_15328	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ext_mOTU_v31_15328
ext_mOTU_v31_15405	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ext_mOTU_v31_15405
ext_mOTU_v31_16202	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; m__ext_mOTU_v31_16202
ext_mOTU_v31_16237	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16237
ext_mOTU_v31_16242	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16242
ext_mOTU_v31_16253	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16253
ext_mOTU_v31_16259	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16259
ext_mOTU_v31_16278	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16278
ext_mOTU_v31_16279	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16279
ext_mOTU_v31_16294	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ext_mOTU_v31_16294
ext_mOTU_v31_16302	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ext_mOTU_v31_16302
ext_mOTU_v31_16303	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ext_mOTU_v31_16303
ext_mOTU_v31_16330	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16330
ext_mOTU_v31_16331	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_16331
ext_mOTU_v31_16347	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_16347
ext_mOTU_v31_16401	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__ext_mOTU_v31_16401
ext_mOTU_v31_16412	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__ext_mOTU_v31_16412
ext_mOTU_v31_16446	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor; m__ext_mOTU_v31_16446
