config	perm	p	pairs	gamma	selected_lambda	edges	density_pct	interior	null_mean_edges	null_max_edges	excess
motus-top100	False	100	4950	0.05	0.25	538	10.869	True	190.8	243	347.2
motus-top100	False	100	4950	0.1	0.25	538	10.869	True	44.2	103	493.8
motus-top100	False	100	4950	0.15	0.3	481	9.717	True	0.2	1	480.8
motus-top100	False	100	4950	0.2	1.0	0	0.0	False	0.0	0	0.0
motus-top100	False	100	4950	0.25	1.0	0	0.0	False	0.0	0	0.0
motus-top100	False	100	4950	0.3	1.0	0	0.0	False	0.0	0	0.0
motus-top100	False	100	4950	0.4	1.0	0	0.0	False	0.0	0	0.0
motus-top100	False	100	4950	0.5	1.0	0	0.0	False	0.0	0	0.0
motus-top150	False	150	11175	0.05	0.05	2408	21.548	False	442.8	611	1965.2
motus-top150	False	150	11175	0.1	0.35	893	7.991	True	97.2	275	795.8
motus-top150	False	150	11175	0.15	1.0	0	0.0	False	0.0	0	0.0
motus-top150	False	150	11175	0.2	1.0	0	0.0	False	0.0	0	0.0
motus-top150	False	150	11175	0.25	1.0	0	0.0	False	0.0	0	0.0
motus-top150	False	150	11175	0.3	1.0	0	0.0	False	0.0	0	0.0
motus-top150	False	150	11175	0.4	1.0	0	0.0	False	0.0	0	0.0
motus-top150	False	150	11175	0.5	1.0	0	0.0	False	0.0	0	0.0
motus-top40	False	40	780	0.05	0.2	139	17.821	True	17.2	27	121.8
motus-top40	False	40	780	0.1	0.25	115	14.744	True	8.8	15	106.2
motus-top40	False	40	780	0.15	0.3	99	12.692	True	7.2	15	91.8
motus-top40	False	40	780	0.2	0.3	99	12.692	True	6.4	15	92.6
motus-top40	False	40	780	0.25	0.3	99	12.692	True	5.6	15	93.4
motus-top40	False	40	780	0.3	1.0	0	0.0	False	0.4	2	-0.4
motus-top40	False	40	780	0.4	1.0	0	0.0	False	0.0	0	0.0
motus-top40	False	40	780	0.5	1.0	0	0.0	False	0.0	0	0.0
motus-top60	False	60	1770	0.05	0.25	219	12.373	True	32.0	49	187.0
motus-top60	False	60	1770	0.1	0.25	219	12.373	True	21.2	35	197.8
motus-top60	False	60	1770	0.15	0.3	192	10.847	True	6.2	15	185.8
motus-top60	False	60	1770	0.2	0.3	192	10.847	True	6.2	15	185.8
motus-top60	False	60	1770	0.25	1.0	0	0.0	False	2.8	8	-2.8
motus-top60	False	60	1770	0.3	1.0	0	0.0	False	2.8	8	-2.8
motus-top60	False	60	1770	0.4	1.0	0	0.0	False	0.0	0	0.0
motus-top60	False	60	1770	0.5	1.0	0	0.0	False	0.0	0	0.0
motus-top80	False	80	3160	0.05	0.25	360	11.392	True	61.8	151	298.2
motus-top80	False	80	3160	0.1	0.25	360	11.392	True	28.0	49	332.0
motus-top80	False	80	3160	0.15	0.3	320	10.127	True	6.0	19	314.0
motus-top80	False	80	3160	0.2	1.0	0	0.0	False	3.4	11	-3.4
motus-top80	False	80	3160	0.25	1.0	0	0.0	False	2.2	11	-2.2
motus-top80	False	80	3160	0.3	1.0	0	0.0	False	0.0	0	0.0
motus-top80	False	80	3160	0.4	1.0	0	0.0	False	0.0	0	0.0
motus-top80	False	80	3160	0.5	1.0	0	0.0	False	0.0	0	0.0
woltka-top100	False	100	4950	0.05	0.05	943	19.051	False	0.2	1	942.8
woltka-top100	False	100	4950	0.1	0.05	943	19.051	False	0.2	1	942.8
woltka-top100	False	100	4950	0.15	0.05	943	19.051	False	0.2	1	942.8
woltka-top100	False	100	4950	0.2	0.05	943	19.051	False	0.0	0	943.0
woltka-top100	False	100	4950	0.25	0.05	943	19.051	False	0.0	0	943.0
woltka-top100	False	100	4950	0.3	1.0	0	0.0	False	0.0	0	0.0
woltka-top100	False	100	4950	0.4	1.0	0	0.0	False	0.0	0	0.0
woltka-top100	False	100	4950	0.5	1.0	0	0.0	False	0.0	0	0.0
woltka-top150	False	150	11175	0.05	0.05	1716	15.356	False	0.0	0	1716.0
woltka-top150	False	150	11175	0.1	0.05	1716	15.356	False	0.0	0	1716.0
woltka-top150	False	150	11175	0.15	0.05	1716	15.356	False	0.0	0	1716.0
woltka-top150	False	150	11175	0.2	0.1	1390	12.438	True	0.0	0	1390.0
woltka-top150	False	150	11175	0.25	1.0	0	0.0	False	0.0	0	0.0
woltka-top150	False	150	11175	0.3	1.0	0	0.0	False	0.0	0	0.0
woltka-top150	False	150	11175	0.4	1.0	0	0.0	False	0.0	0	0.0
woltka-top150	False	150	11175	0.5	1.0	0	0.0	False	0.0	0	0.0
woltka-top40	False	40	780	0.05	0.05	254	32.564	False	0.0	0	254.0
woltka-top40	False	40	780	0.1	0.05	254	32.564	False	0.0	0	254.0
woltka-top40	False	40	780	0.15	0.05	254	32.564	False	0.0	0	254.0
woltka-top40	False	40	780	0.2	0.05	254	32.564	False	0.0	0	254.0
woltka-top40	False	40	780	0.25	0.05	254	32.564	False	0.0	0	254.0
woltka-top40	False	40	780	0.3	0.05	254	32.564	False	0.0	0	254.0
woltka-top40	False	40	780	0.4	0.05	254	32.564	False	0.0	0	254.0
woltka-top40	False	40	780	0.5	1.0	0	0.0	False	0.0	0	0.0
woltka-top60	False	60	1770	0.05	0.05	483	27.288	False	0.0	0	483.0
woltka-top60	False	60	1770	0.1	0.05	483	27.288	False	0.0	0	483.0
woltka-top60	False	60	1770	0.15	0.05	483	27.288	False	0.0	0	483.0
woltka-top60	False	60	1770	0.2	0.05	483	27.288	False	0.0	0	483.0
woltka-top60	False	60	1770	0.25	0.05	483	27.288	False	0.0	0	483.0
woltka-top60	False	60	1770	0.3	0.1	394	22.26	True	0.0	0	394.0
woltka-top60	False	60	1770	0.4	1.0	0	0.0	False	0.0	0	0.0
woltka-top60	False	60	1770	0.5	1.0	0	0.0	False	0.0	0	0.0
woltka-top80	False	80	3160	0.05	0.05	667	21.108	False	0.2	1	666.8
woltka-top80	False	80	3160	0.1	0.05	667	21.108	False	0.0	0	667.0
woltka-top80	False	80	3160	0.15	0.05	667	21.108	False	0.0	0	667.0
woltka-top80	False	80	3160	0.2	0.05	667	21.108	False	0.0	0	667.0
woltka-top80	False	80	3160	0.25	0.05	667	21.108	False	0.0	0	667.0
woltka-top80	False	80	3160	0.3	0.05	667	21.108	False	0.0	0	667.0
woltka-top80	False	80	3160	0.4	1.0	0	0.0	False	0.0	0	0.0
woltka-top80	False	80	3160	0.5	1.0	0	0.0	False	0.0	0	0.0
