config	perm	p	pairs	gamma	selected_lambda	edges	density_pct	interior
motus-top100	True	100	4950	0.05	0.4	191	3.859	True
motus-top100	True	100	4950	0.1	0.5	103	2.081	True
motus-top100	True	100	4950	0.15	1.0	0	0.0	False
motus-top100	True	100	4950	0.2	1.0	0	0.0	False
motus-top100	True	100	4950	0.25	1.0	0	0.0	False
motus-top100	True	100	4950	0.3	1.0	0	0.0	False
motus-top100	True	100	4950	0.4	1.0	0	0.0	False
motus-top100	True	100	4950	0.5	1.0	0	0.0	False
motus-top100	True	100	4950	0.05	0.45	131	2.646	True
motus-top100	True	100	4950	0.1	0.55	71	1.434	True
motus-top100	True	100	4950	0.15	0.9	0	0.0	False
motus-top100	True	100	4950	0.2	0.9	0	0.0	False
motus-top100	True	100	4950	0.25	0.9	0	0.0	False
motus-top100	True	100	4950	0.3	0.9	0	0.0	False
motus-top100	True	100	4950	0.4	0.9	0	0.0	False
motus-top100	True	100	4950	0.5	0.9	0	0.0	False
motus-top100	True	100	4950	0.05	0.35	243	4.909	True
motus-top100	True	100	4950	0.1	0.9	1	0.02	True
motus-top100	True	100	4950	0.15	0.9	1	0.02	True
motus-top100	True	100	4950	0.2	1.0	0	0.0	False
motus-top100	True	100	4950	0.25	1.0	0	0.0	False
motus-top100	True	100	4950	0.3	1.0	0	0.0	False
motus-top100	True	100	4950	0.4	1.0	0	0.0	False
motus-top100	True	100	4950	0.5	1.0	0	0.0	False
motus-top100	True	100	4950	0.05	0.4	173	3.495	True
motus-top100	True	100	4950	0.1	0.65	34	0.687	True
motus-top100	True	100	4950	0.15	1.0	0	0.0	False
motus-top100	True	100	4950	0.2	1.0	0	0.0	False
motus-top100	True	100	4950	0.25	1.0	0	0.0	False
motus-top100	True	100	4950	0.3	1.0	0	0.0	False
motus-top100	True	100	4950	0.4	1.0	0	0.0	False
motus-top100	True	100	4950	0.5	1.0	0	0.0	False
motus-top100	True	100	4950	0.05	0.35	216	4.364	True
motus-top100	True	100	4950	0.1	0.75	12	0.242	True
motus-top100	True	100	4950	0.15	1.0	0	0.0	False
motus-top100	True	100	4950	0.2	1.0	0	0.0	False
motus-top100	True	100	4950	0.25	1.0	0	0.0	False
motus-top100	True	100	4950	0.3	1.0	0	0.0	False
motus-top100	True	100	4950	0.4	1.0	0	0.0	False
motus-top100	True	100	4950	0.5	1.0	0	0.0	False
motus-top100	False	100	4950	0.05	0.25	538	10.869	True
motus-top100	False	100	4950	0.1	0.25	538	10.869	True
motus-top100	False	100	4950	0.15	0.3	481	9.717	True
motus-top100	False	100	4950	0.2	1.0	0	0.0	False
motus-top100	False	100	4950	0.25	1.0	0	0.0	False
motus-top100	False	100	4950	0.3	1.0	0	0.0	False
motus-top100	False	100	4950	0.4	1.0	0	0.0	False
motus-top100	False	100	4950	0.5	1.0	0	0.0	False
motus-top150	True	150	11175	0.05	0.3	611	5.468	True
motus-top150	True	150	11175	0.1	0.5	275	2.461	True
motus-top150	True	150	11175	0.15	1.0	0	0.0	False
motus-top150	True	150	11175	0.2	1.0	0	0.0	False
motus-top150	True	150	11175	0.25	1.0	0	0.0	False
motus-top150	True	150	11175	0.3	1.0	0	0.0	False
motus-top150	True	150	11175	0.4	1.0	0	0.0	False
motus-top150	True	150	11175	0.5	1.0	0	0.0	False
motus-top150	True	150	11175	0.05	0.45	314	2.81	True
motus-top150	True	150	11175	0.1	1.0	0	0.0	False
motus-top150	True	150	11175	0.15	1.0	0	0.0	False
motus-top150	True	150	11175	0.2	1.0	0	0.0	False
motus-top150	True	150	11175	0.25	1.0	0	0.0	False
motus-top150	True	150	11175	0.3	1.0	0	0.0	False
motus-top150	True	150	11175	0.4	1.0	0	0.0	False
motus-top150	True	150	11175	0.5	1.0	0	0.0	False
motus-top150	True	150	11175	0.05	0.6	121	1.083	True
motus-top150	True	150	11175	0.1	1.0	0	0.0	False
motus-top150	True	150	11175	0.15	1.0	0	0.0	False
motus-top150	True	150	11175	0.2	1.0	0	0.0	False
motus-top150	True	150	11175	0.25	1.0	0	0.0	False
motus-top150	True	150	11175	0.3	1.0	0	0.0	False
motus-top150	True	150	11175	0.4	1.0	0	0.0	False
motus-top150	True	150	11175	0.5	1.0	0	0.0	False
motus-top150	True	150	11175	0.05	0.3	597	5.342	True
motus-top150	True	150	11175	0.1	1.0	0	0.0	False
motus-top150	True	150	11175	0.15	1.0	0	0.0	False
motus-top150	True	150	11175	0.2	1.0	0	0.0	False
motus-top150	True	150	11175	0.25	1.0	0	0.0	False
motus-top150	True	150	11175	0.3	1.0	0	0.0	False
motus-top150	True	150	11175	0.4	1.0	0	0.0	False
motus-top150	True	150	11175	0.5	1.0	0	0.0	False
motus-top150	True	150	11175	0.05	0.3	571	5.11	True
motus-top150	True	150	11175	0.1	0.55	211	1.888	True
motus-top150	True	150	11175	0.15	1.0	0	0.0	False
motus-top150	True	150	11175	0.2	1.0	0	0.0	False
motus-top150	True	150	11175	0.25	1.0	0	0.0	False
motus-top150	True	150	11175	0.3	1.0	0	0.0	False
motus-top150	True	150	11175	0.4	1.0	0	0.0	False
motus-top150	True	150	11175	0.5	1.0	0	0.0	False
motus-top150	False	150	11175	0.05	0.05	2408	21.548	False
motus-top150	False	150	11175	0.1	0.35	893	7.991	True
motus-top150	False	150	11175	0.15	1.0	0	0.0	False
motus-top150	False	150	11175	0.2	1.0	0	0.0	False
motus-top150	False	150	11175	0.25	1.0	0	0.0	False
motus-top150	False	150	11175	0.3	1.0	0	0.0	False
motus-top150	False	150	11175	0.4	1.0	0	0.0	False
motus-top150	False	150	11175	0.5	1.0	0	0.0	False
motus-top40	True	40	780	0.05	0.45	15	1.923	True
motus-top40	True	40	780	0.1	0.8	0	0.0	False
motus-top40	True	40	780	0.15	0.8	0	0.0	False
motus-top40	True	40	780	0.2	0.8	0	0.0	False
motus-top40	True	40	780	0.25	0.8	0	0.0	False
motus-top40	True	40	780	0.3	0.8	0	0.0	False
motus-top40	True	40	780	0.4	0.8	0	0.0	False
motus-top40	True	40	780	0.5	0.8	0	0.0	False
motus-top40	True	40	780	0.05	0.4	27	3.462	True
motus-top40	True	40	780	0.1	0.55	8	1.026	True
motus-top40	True	40	780	0.15	0.85	0	0.0	False
motus-top40	True	40	780	0.2	0.85	0	0.0	False
motus-top40	True	40	780	0.25	0.85	0	0.0	False
motus-top40	True	40	780	0.3	0.85	0	0.0	False
motus-top40	True	40	780	0.4	0.85	0	0.0	False
motus-top40	True	40	780	0.5	0.85	0	0.0	False
motus-top40	True	40	780	0.05	0.4	15	1.923	True
motus-top40	True	40	780	0.1	0.4	15	1.923	True
motus-top40	True	40	780	0.15	0.4	15	1.923	True
motus-top40	True	40	780	0.2	0.4	15	1.923	True
motus-top40	True	40	780	0.25	0.4	15	1.923	True
motus-top40	True	40	780	0.3	0.8	0	0.0	False
motus-top40	True	40	780	0.4	0.8	0	0.0	False
motus-top40	True	40	780	0.5	0.8	0	0.0	False
motus-top40	True	40	780	0.05	0.45	13	1.667	True
motus-top40	True	40	780	0.1	0.45	13	1.667	True
motus-top40	True	40	780	0.15	0.45	13	1.667	True
motus-top40	True	40	780	0.2	0.45	13	1.667	True
motus-top40	True	40	780	0.25	0.45	13	1.667	True
motus-top40	True	40	780	0.3	0.75	2	0.256	True
motus-top40	True	40	780	0.4	1.0	0	0.0	False
motus-top40	True	40	780	0.5	1.0	0	0.0	False
motus-top40	True	40	780	0.05	0.4	16	2.051	True
motus-top40	True	40	780	0.1	0.5	8	1.026	True
motus-top40	True	40	780	0.15	0.5	8	1.026	True
motus-top40	True	40	780	0.2	0.6	4	0.513	True
motus-top40	True	40	780	0.25	0.85	0	0.0	False
motus-top40	True	40	780	0.3	0.85	0	0.0	False
motus-top40	True	40	780	0.4	0.85	0	0.0	False
motus-top40	True	40	780	0.5	0.85	0	0.0	False
motus-top40	False	40	780	0.05	0.2	139	17.821	True
motus-top40	False	40	780	0.1	0.25	115	14.744	True
motus-top40	False	40	780	0.15	0.3	99	12.692	True
motus-top40	False	40	780	0.2	0.3	99	12.692	True
motus-top40	False	40	780	0.25	0.3	99	12.692	True
motus-top40	False	40	780	0.3	1.0	0	0.0	False
motus-top40	False	40	780	0.4	1.0	0	0.0	False
motus-top40	False	40	780	0.5	1.0	0	0.0	False
motus-top60	True	60	1770	0.05	0.5	21	1.186	True
motus-top60	True	60	1770	0.1	0.55	14	0.791	True
motus-top60	True	60	1770	0.15	0.9	0	0.0	False
motus-top60	True	60	1770	0.2	0.9	0	0.0	False
motus-top60	True	60	1770	0.25	0.9	0	0.0	False
motus-top60	True	60	1770	0.3	0.9	0	0.0	False
motus-top60	True	60	1770	0.4	0.9	0	0.0	False
motus-top60	True	60	1770	0.5	0.9	0	0.0	False
motus-top60	True	60	1770	0.05	0.4	49	2.768	True
motus-top60	True	60	1770	0.1	0.55	15	0.847	True
motus-top60	True	60	1770	0.15	0.55	15	0.847	True
motus-top60	True	60	1770	0.2	0.55	15	0.847	True
motus-top60	True	60	1770	0.25	0.85	0	0.0	False
motus-top60	True	60	1770	0.3	0.85	0	0.0	False
motus-top60	True	60	1770	0.4	0.85	0	0.0	False
motus-top60	True	60	1770	0.5	0.85	0	0.0	False
motus-top60	True	60	1770	0.05	0.4	48	2.712	True
motus-top60	True	60	1770	0.1	0.45	35	1.977	True
motus-top60	True	60	1770	0.15	0.8	0	0.0	False
motus-top60	True	60	1770	0.2	0.8	0	0.0	False
motus-top60	True	60	1770	0.25	0.8	0	0.0	False
motus-top60	True	60	1770	0.3	0.8	0	0.0	False
motus-top60	True	60	1770	0.4	0.8	0	0.0	False
motus-top60	True	60	1770	0.5	0.8	0	0.0	False
motus-top60	True	60	1770	0.05	0.45	34	1.921	True
motus-top60	True	60	1770	0.1	0.45	34	1.921	True
motus-top60	True	60	1770	0.15	0.65	8	0.452	True
motus-top60	True	60	1770	0.2	0.65	8	0.452	True
motus-top60	True	60	1770	0.25	0.7	6	0.339	True
motus-top60	True	60	1770	0.3	0.7	6	0.339	True
