feature_id	prevalence	total_counts	max_in_one_sample	taxon
ref_mOTU_v31_00085	23	9847.0	1892.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; m__ref_mOTU_v31_00085
ref_mOTU_v31_00095	20	3328.0	1044.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; m__ref_mOTU_v31_00095
ref_mOTU_v31_00318	18	309.0	200.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; m__ref_mOTU_v31_00318
ref_mOTU_v31_00077	15	1409.0	552.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; m__ref_mOTU_v31_00077
ref_mOTU_v31_00346	15	796.0	530.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; m__ref_mOTU_v31_00346
ref_mOTU_v31_01606	14	3480.0	2437.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_01606
ref_mOTU_v31_00086	14	947.0	451.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; m__ref_mOTU_v31_00086
ref_mOTU_v31_01941	13	1128.0	300.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ref_mOTU_v31_01941
ref_mOTU_v31_01940	12	213.0	58.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ref_mOTU_v31_01940
ref_mOTU_v31_02367	11	916.0	457.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_02367
ref_mOTU_v31_00283	11	57.0	43.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; m__ref_mOTU_v31_00283
ref_mOTU_v31_01068	10	1131.0	1033.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; m__ref_mOTU_v31_01068
meta_mOTU_v31_13135	9	153.0	27.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__meta_mOTU_v31_13135
ref_mOTU_v31_00084	8	3244.0	1123.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; m__ref_mOTU_v31_00084
ref_mOTU_v31_01938	8	817.0	342.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ref_mOTU_v31_01938
ref_mOTU_v31_01939	8	65.0	34.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__ref_mOTU_v31_01939
