lambda1	edges	sparsity	ebic_gamma0.15
0.05	1405	0.283838	5016.322
0.1	1120	0.226263	4775.801
0.15	895	0.180808	4290.012
0.2	709	0.143232	3785.576
0.25	538	0.108687	3173.368
0.3	481	0.097172	3163.002
0.35	471	0.095152	3380.084
0.39999999999999997	459	0.092727	3565.308
0.44999999999999996	455	0.091919	3793.088
0.49999999999999994	439	0.088687	3929.644
0.5499999999999999	425	0.085859	4069.901
0.6	413	0.083434	4221.556
0.65	385	0.077778	4282.159
0.7	350	0.070707	4303.098
0.75	310	0.062626	4308.067
0.7999999999999999	241	0.048687	4153.443
0.85	158	0.031919	3927.853
0.9	79	0.01596	3673.407
0.95	34	0.006869	3532.041
1.0	0	0.0	3400.0
