config	p	n	p_lt_n	gamma	selected_lambda	edges	density_pct	genuine_interior_min
family-prev10	10	34	True	0.05	0.2	17	37.778	True
family-prev10	10	34	True	0.1	0.45	4	8.889	True
family-prev10	10	34	True	0.15	0.45	4	8.889	True
family-prev10	10	34	True	0.2	0.45	4	8.889	True
family-prev10	10	34	True	0.25	0.45	4	8.889	True
family-prev10	10	34	True	0.3	0.45	4	8.889	True
family-prev10	10	34	True	0.4	0.75	0	0.0	False
family-prev10	10	34	True	0.5	0.75	0	0.0	False
family-prev10	10	34	True	0.7	0.75	0	0.0	False
family-prev15	6	34	True	0.05	0.5	0	0.0	False
family-prev15	6	34	True	0.1	0.5	0	0.0	False
family-prev15	6	34	True	0.15	0.5	0	0.0	False
family-prev15	6	34	True	0.2	0.5	0	0.0	False
family-prev15	6	34	True	0.25	0.5	0	0.0	False
family-prev15	6	34	True	0.3	0.5	0	0.0	False
family-prev15	6	34	True	0.4	0.5	0	0.0	False
family-prev15	6	34	True	0.5	0.5	0	0.0	False
family-prev15	6	34	True	0.7	0.5	0	0.0	False
family-prev3	37	34	False	0.05	0.05	287	43.093	False
family-prev3	37	34	False	0.1	0.05	287	43.093	False
family-prev3	37	34	False	0.15	0.15	176	26.426	True
family-prev3	37	34	False	0.2	0.15	176	26.426	True
family-prev3	37	34	False	0.25	0.15	176	26.426	True
family-prev3	37	34	False	0.3	0.15	176	26.426	True
family-prev3	37	34	False	0.4	1.0	0	0.0	False
family-prev3	37	34	False	0.5	1.0	0	0.0	False
family-prev3	37	34	False	0.7	1.0	0	0.0	False
family-prev5	21	34	True	0.05	0.1	85	40.476	True
family-prev5	21	34	True	0.1	0.1	85	40.476	True
family-prev5	21	34	True	0.15	0.1	85	40.476	True
family-prev5	21	34	True	0.2	0.1	85	40.476	True
family-prev5	21	34	True	0.25	0.1	85	40.476	True
family-prev5	21	34	True	0.3	0.15	74	35.238	True
family-prev5	21	34	True	0.4	1.0	0	0.0	False
family-prev5	21	34	True	0.5	1.0	0	0.0	False
family-prev5	21	34	True	0.7	1.0	0	0.0	False
genus-prev10	12	34	True	0.05	0.35	8	12.121	True
genus-prev10	12	34	True	0.1	0.35	8	12.121	True
genus-prev10	12	34	True	0.15	0.45	4	6.061	True
