gamma	lambda	ebic
0.01	0.001000	777.606345
0.01	0.001269	777.631328
0.01	0.001610	777.670902
0.01	0.002043	777.733176
0.01	0.002593	777.830588
0.01	0.003290	773.964606
0.01	0.004175	770.167476
0.01	0.005298	770.495968
0.01	0.006723	766.971836
0.01	0.008532	767.707156
0.01	0.010826	760.752147
0.01	0.013738	754.082396
0.01	0.017433	755.960152
0.01	0.022122	750.409373
0.01	0.028072	749.693175
0.01	0.035622	746.121367
0.01	0.045204	739.542753
0.01	0.057362	734.361219
0.01	0.072790	730.032775
0.01	0.092367	723.161633
0.01	0.117210	722.828055
0.01	0.148735	713.593021
0.01	0.188739	691.918143
0.01	0.239503	684.547195
0.01	0.303920	656.207204
0.01	0.385662	656.348336
0.01	0.489390	648.111386
0.01	0.621017	650.000000
0.01	0.788046	650.000000
0.01	1.000000	650.000000
0.1	0.001000	849.630123
0.1	0.001269	849.655106
0.1	0.001610	849.694680
0.1	0.002043	849.756954
0.1	0.002593	849.854366
0.1	0.003290	845.065003
0.1	0.004175	840.344491
0.1	0.005298	840.672982
0.1	0.006723	836.225469
0.1	0.008532	836.960789
0.1	0.010826	828.159016
0.1	0.013738	819.642502
0.1	0.017433	821.520258
0.1	0.022122	814.122715
0.1	0.028072	812.483135
0.1	0.035622	807.064564
0.1	0.045204	797.715805
0.1	0.057362	789.764125
0.1	0.072790	782.665536
0.1	0.092367	772.100866
0.1	0.117210	768.997144
0.1	0.148735	754.221819
0.1	0.188739	723.313124
0.1	0.239503	708.555121
0.1	0.303920	667.287785
0.1	0.385662	661.888627
0.1	0.489390	649.034768
0.1	0.621017	650.000000
0.1	0.788046	650.000000
0.1	1.000000	650.000000
0.3	0.001000	1009.682963
0.3	0.001269	1009.707946
0.3	0.001610	1009.747520
0.3	0.002043	1009.809794
0.3	0.002593	1009.907206
0.3	0.003290	1003.065883
0.3	0.004175	996.293412
0.3	0.005298	996.621903
0.3	0.006723	990.122430
0.3	0.008532	990.857750
0.3	0.010826	977.952059
0.3	0.013738	965.331625
0.3	0.017433	967.209381
0.3	0.022122	955.707920
0.3	0.028072	952.016381
0.3	0.035622	942.493890
0.3	0.045204	926.989252
0.3	0.057362	912.881694
0.3	0.072790	899.627227
0.3	0.092367	880.854719
0.3	0.117210	871.595118
0.3	0.148735	844.508036
0.3	0.188739	793.079746
0.3	0.239503	761.906068
0.3	0.303920	691.911299
0.3	0.385662	674.200384
0.3	0.489390	651.086727
0.3	0.621017	650.000000
0.3	0.788046	650.000000
0.3	1.000000	650.000000
0.5	0.001000	1169.735803
0.5	0.001269	1169.760786
0.5	0.001610	1169.800360
0.5	0.002043	1169.862634
0.5	0.002593	1169.960046
0.5	0.003290	1161.066763
0.5	0.004175	1152.242332
0.5	0.005298	1152.570824
0.5	0.006723	1144.019392
0.5	0.008532	1144.754712
0.5	0.010826	1127.745101
0.5	0.013738	1111.020749
0.5	0.017433	1112.898505
0.5	0.022122	1097.293124
0.5	0.028072	1091.549626
0.5	0.035622	1077.923216
0.5	0.045204	1056.262700
0.5	0.057362	1035.999263
0.5	0.072790	1016.588918
0.5	0.092367	989.608572
0.5	0.117210	974.193092
0.5	0.148735	934.794253
0.5	0.188739	862.846369
0.5	0.239503	815.257015
0.5	0.303920	716.534813
0.5	0.385662	686.512141
0.5	0.489390	653.138687
0.5	0.621017	650.000000
0.5	0.788046	650.000000
0.5	1.000000	650.000000
0.7	0.001000	1329.788643
0.7	0.001269	1329.813626
0.7	0.001610	1329.853200
0.7	0.002043	1329.915474
0.7	0.002593	1330.012886
0.7	0.003290	1319.067644
0.7	0.004175	1308.191253
0.7	0.005298	1308.519745
0.7	0.006723	1297.916353
0.7	0.008532	1298.651673
0.7	0.010826	1277.538143
0.7	0.013738	1256.709872
0.7	0.017433	1258.587628
0.7	0.022122	1238.878329
0.7	0.028072	1231.082871
0.7	0.035622	1213.352542
0.7	0.045204	1185.536148
0.7	0.057362	1159.116832
0.7	0.072790	1133.550608
0.7	0.092367	1098.362425
0.7	0.117210	1076.791067
0.7	0.148735	1025.080471
0.7	0.188739	932.612991
0.7	0.239503	868.607961
0.7	0.303920	741.158327
0.7	0.385662	698.823898
0.7	0.489390	655.190646
0.7	0.621017	650.000000
0.7	0.788046	650.000000
0.7	1.000000	650.000000
