selection	p	n	gamma	selected_lambda	edges	density_pct	genuine_interior_min
abund	300	36	0.1	0.1	3484	7.768	True
abund	300	36	0.11	0.1	3484	7.768	True
abund	300	36	0.12	0.1	3484	7.768	True
abund	300	36	0.13	0.1	3484	7.768	True
abund	300	36	0.15	1.0	0	0.0	False
abund	300	36	0.18	1.0	0	0.0	False
abund	300	36	0.2	1.0	0	0.0	False
abund	300	36	0.25	1.0	0	0.0	False
abund	300	36	0.3	1.0	0	0.0	False
abund	300	36	0.5	1.0	0	0.0	False
abund	300	36	0.7	1.0	0	0.0	False
preval	300	36	0.1	0.15	3344	7.456	True
preval	300	36	0.11	1.0	0	0.0	False
preval	300	36	0.12	1.0	0	0.0	False
preval	300	36	0.13	1.0	0	0.0	False
preval	300	36	0.15	1.0	0	0.0	False
preval	300	36	0.18	1.0	0	0.0	False
preval	300	36	0.2	1.0	0	0.0	False
preval	300	36	0.25	1.0	0	0.0	False
preval	300	36	0.3	1.0	0	0.0	False
preval	300	36	0.5	1.0	0	0.0	False
preval	300	36	0.7	1.0	0	0.0	False
